season,N,Mean,SD,Median,Min,Max
春,20,32.915000000000006,21.131499934308597,34.5,5.0,74.7
夏,12,17.766666666666666,9.9162248437354,19.549999999999997,5.0,34.6
秋,19,42.636842105263156,19.80488745869216,47.0,5.6,73.4
冬,14,109.57142857142857,28.477316980670466,105.45,71.2,154.4
